scode	sname	amccode_amccode
119551	Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct Plan-Dividend	3
119552	Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan-Monthly Dividend	3
119553	Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan-Quarterly Dividend	3
108272	Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Dividend	3
108273	Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	3
110282	Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Monthly Dividend	3
108274	Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Quarterly Dividend	3
103176	Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	3
110490	Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Monthly Dividend	3
106157	Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Quarterly Dividend	3
119550	Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	3
128953	Axis Banking & PSU Debt Fund - Bonus Option	53
117447	Axis Banking & PSU Debt Fund - Daily Dividend Option	53
128952	Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	53
120437	Axis Banking & PSU Debt Fund - Direct Plan - Daily Dividend Option	53
120438	Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	53
120439	Axis Banking & PSU Debt Fund - Direct Plan - Monthly Dividend Option	53
120436	Axis Banking & PSU Debt Fund - Direct Plan - Weekly Dividend Option	53
117446	Axis Banking & PSU Debt Fund - Growth option	53
117449	Axis Banking & PSU Debt Fund - Monthly Dividend Option	53
117448	Axis Banking & PSU Debt Fund - Weekly Dividend option	53
124182	DSP Banking & PSU Debt Fund - Direct Plan - Daily Dividend Reinvest	6
124178	DSP Banking & PSU Debt Fund - Direct Plan - Dividend Payout & Reinvest	6
124175	DSP Banking & PSU Debt Fund - Direct Plan - Growth	6
124176	DSP Banking & PSU Debt Fund - Direct Plan - Monthly Dividend Payout & Reinvest	6
124177	DSP Banking & PSU Debt Fund - Direct Plan - Quarterly Dividend Payout & Reinvest	6
124183	DSP Banking & PSU Debt Fund - Direct Plan - Weekly Dividend Payout & Reinvest	6
124173	DSP Banking & PSU Debt Fund - Regular Plan - Daily Dividend Reinvest	6
124174	DSP Banking & PSU Debt Fund - Regular Plan - Dividend Payout & Reinvest	6
124172	DSP Banking & PSU Debt Fund - Regular Plan - Growth	6
124180	DSP Banking & PSU Debt Fund - Regular Plan - Monthly Dividend Payout & Reinvest	6
124181	DSP Banking & PSU Debt Fund - Regular Plan - Quarterly Dividend Payout & Reinvest	6
124179	DSP Banking & PSU Debt Fund - Regular Plan - Weekly Dividend Payout & Reinvest	6
140288	Edelweiss Banking and PSU Debt Fund - Direct Plan - Dividend Option	47
140291	Edelweiss Banking and PSU Debt Fund - Direct Plan - Fortnightly Dividend Option	47
140286	Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	47
140293	Edelweiss Banking and PSU Debt Fund - Direct Plan - Monthly Dividend Option	47
140290	Edelweiss Banking and PSU Debt Fund - Direct Plan - Weekly Dividend Option	47
140284	Edelweiss Banking and PSU Debt Fund - Regular Plan - Dividend Option	47
140294	Edelweiss Banking and PSU Debt Fund - Regular Plan - Fortnightly Dividend Option	47
140283	Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	47
140292	Edelweiss Banking and PSU Debt Fund - Regular Plan - Monthly Dividend Option	47
140289	Edelweiss Banking and PSU Debt Fund - Regular Plan - Weekly Dividend Option	47
129009	Franklin India Banking & PSU Debt Fund - Direct - Dividend	27
129008	Franklin India Banking & PSU Debt Fund - Direct - Growth	27
129007	Franklin India Banking & PSU Debt Fund - Dividend	27
129006	Franklin India Banking & PSU Debt Fund - Growth	27
128626	HDFC Banking and PSU Debt Fund - Direct Plan - Dividend Option	9
128629	HDFC Banking and PSU Debt Fund - Direct Plan - Growth Option	9
128627	HDFC Banking and PSU Debt Fund - Regular Plan - Dividend Option	9
128628	HDFC Banking and PSU Debt Fund - Regular Plan - Growth Option	9
112343	ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend	20
112344	ICICI Prudential Banking and PSU Debt Fund -  Weekly Dividend	20
130897	ICICI Prudential Banking and PSU Debt Fund - Bonus	20
120257	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily Dividend	20
120256	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	20
120258	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly Dividend	20
120255	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly Dividend	20
130950	ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	20
131148	ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly Dividend Option	20
112342	ICICI Prudential Banking and PSU Debt Fund - Growth	20
116174	ICICI Prudential Banking and PSU Debt Fund - Quarterly Dividend	20
131147	ICICI Prudential Banking and PSU Debt Fund Half Yearly Dividend Option	20
113247	ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	20
113242	ICICI Prudential Banking and PSU Debt Fund Retail Growth	20
113243	ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	20
127471	IDFC Banking & PSU Debt Fund-Direct Plan- Daily Dividend	48
121281	IDFC Banking & PSU Debt Fund-Direct Plan- Dividend Option	48
121934	IDFC Banking & PSU Debt Fund-Direct Plan- Fortnightly Dividend	48
121279	IDFC Banking & PSU Debt Fund-Direct Plan- Growth Option	48
121935	IDFC Banking & PSU Debt Fund-Direct Plan- Monthly Dividend	48
121938	IDFC Banking & PSU Debt Fund-Direct Plan- Quarterly Dividend	48
121933	IDFC Banking & PSU Debt Fund-Regular Plan- Annual Dividend	48
127470	IDFC Banking & PSU Debt Fund-Regular Plan- Daily Dividend	48
121282	IDFC Banking & PSU Debt Fund-Regular Plan- Dividend Option	48
121931	IDFC Banking & PSU Debt Fund-Regular Plan- Fortnightly Dividend	48
121280	IDFC Banking & PSU Debt Fund-Regular Plan- Growth Option	48
121932	IDFC Banking & PSU Debt Fund-Regular Plan- Monthly Dividend	48
121937	IDFC Banking & PSU Debt Fund-Regular Plan- Quarterly Dividend	48
147223	Indiabulls Banking & PSU Debt Fund- Regular Plan- Growth Option	63
147218	Indiabulls Banking & PSU Debt Fund-Direct Plan- Daily Dividend Option	63
147219	Indiabulls Banking & PSU Debt Fund-Direct Plan- Fortnightly Dividend Option	63
147217	Indiabulls Banking & PSU Debt Fund-Direct Plan- Growth	63
147221	Indiabulls Banking & PSU Debt Fund-Direct Plan- Monthly Dividend Option	63
147220	Indiabulls Banking & PSU Debt Fund-Direct Plan- Weekly Dividend Option	63
147224	Indiabulls Banking & PSU Debt Fund-Regular Plan- Daily Dividend Option	63
147222	Indiabulls Banking & PSU Debt Fund-Regular Plan- Weekly Dividend Option	63
147226	Indiabulls Banking & PSU Debt Fund-Regular Plan-Fortnightly Dividend Option	63
147225	Indiabulls Banking & PSU Debt Fund-Regular Plan-Monthly Dividend Option	63
118234	Invesco India Banking & PSU Debt Fund - Daily Dividend Option	42
120443	Invesco India Banking & PSU Debt Fund - Direct Plan -  Daily Dividend Option	42
120444	Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option	42
120445	Invesco India Banking & PSU Debt Fund - Direct Plan -  Monthly Dividend Option	42
118232	Invesco India Banking & PSU Debt Fund - Growth Option	42
118233	Invesco India Banking & PSU Debt Fund - Monthly Dividend Option	42
123688	Kotak Banking and PSU Debt - Annual Dividend	17
123858	Kotak Banking and PSU Debt - Daily Dividend Reinvestment	17
123859	Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	17
123690	Kotak Banking and PSU Debt - Growth	17
123691	Kotak Banking and PSU Debt - Monthly Dividend	17
123689	Kotak Banking and PSU Debt Direct - Annual Dividend	17
123693	Kotak Banking and PSU Debt Direct - Growth	17
123692	Kotak Banking and PSU Debt Direct - Monthly Dividend	17
119794	L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend	56
118080	L&T Banking and PSU Debt Fund -  Regular Plan - Monthly Dividend	56
119796	L&T Banking and PSU Debt Fund - Direct Plan - Daily Dividend Option	56
119795	L&T Banking and PSU Debt Fund - Direct Plan - Growth	56
119797	L&T Banking and PSU Debt Fund - Direct Plan - Weekly Dividend	56
118076	L&T Banking and PSU Debt Fund - Regular Plan - Daily Dividend	56
118078	L&T Banking and PSU Debt Fund - Regular Plan - Growth	56
118077	L&T Banking and PSU Debt Fund - Regular Plan - Weekly Dividend	56
120337	LIC MF Banking & PSU Debt Fund-Direct Plan-Daily Dividend	18
120338	LIC MF Banking & PSU Debt Fund-Direct Plan-Growth	18
120339	LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly Dividend	18
120336	LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly Dividend	18
105822	LIC MF Banking & PSU Debt Fund-Regular Plan-Daily Dividend	18
105823	LIC MF Banking & PSU Debt Fund-Regular Plan-Growth	18
105856	LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly Dividend	18
105857	LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly Dividend	18
134551	Nippon India Banking  & PSU Debt Fund -Quarterly Dividend Plan	21
134555	Nippon India Banking  & PSU Debt Fund- Direct Plan-Dividend Plan	21
134552	Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	21
134547	Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	21
134550	Nippon India Banking  & PSU Debt Fund- Direct Plan-Monthly Dividend Plan	21
134556	Nippon India Banking  & PSU Debt Fund- Direct Plan-Quarterly Dividend Plan	21
134554	Nippon India Banking  & PSU Debt Fund- Direct Plan-Weekly Dividend Plan	21
134548	Nippon India Banking  & PSU Debt Fund- Dividend Plan	21
134546	Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	21
134545	Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	21
134549	Nippon India Banking  & PSU Debt Fund- Monthly Dividend Plan	21
134553	Nippon India Banking  & PSU Debt Fund- Weekly Dividend Plan	21
138573	PGIM India Banking and PSU Debt fund - Bonus	58
138565	PGIM India Banking and PSU Debt fund - Monthly Dividend	58
138576	PGIM India Banking and PSU Debt fund - Quarterly Bonus	58
138571	PGIM India Banking and PSU Debt fund - Quarterly Dividend	58
138570	PGIM India Banking and PSU Debt fund - Weekly Dividend	58
138566	PGIM India Banking and PSU Debt fund -Growth	58
138575	PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus	58
138574	PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus	58
138568	PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend	58
138563	PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend	58
138567	PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend	58
138569	PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend	58
138564	PGIM India Banking and PSU Debt fund- Direct Plan-Growth	58
125504	SBI BANKING & PSU FUND - Direct Plan  - Weekly Dividend	22
125502	SBI BANKING & PSU FUND - Direct Plan - Daily Dividend	22
125503	SBI BANKING & PSU FUND - Direct Plan - Growth	22
125505	SBI BANKING & PSU FUND - Direct Plan - Monthly Dividend	22
125498	SBI BANKING & PSU FUND - Regular Paln - Growth	22
125499	SBI BANKING & PSU FUND - Regular Plan - Daily Dividend	22
125501	SBI BANKING & PSU FUND - Regular Plan - Monthly Dividend	22
125500	SBI BANKING & PSU FUND - Regular Plan - Weekly Dividend	22
134363	Sundaram Banking & PSU Debt Fund - Direct Growth	33
134370	Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend	33
134369	Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend	33
134355	Sundaram Banking & PSU Debt Fund - Regular Annual Bonus	33
134356	Sundaram Banking & PSU Debt Fund - Regular Growth	33
134359	Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend	33
134361	Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus	33
134360	Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend	33
134362	Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend	33
100780	SUNDARAM BANKING AND PSU DEBT FUND  RETAIL MONTHLY DIVIDEND	33
118326	SUNDARAM BANKING AND PSU DEBT FUND - Bonus Option	33
119626	SUNDARAM BANKING AND PSU DEBT FUND - DIRECT PLAN MONTHLY DIVIDEND	33
100783	SUNDARAM BANKING AND PSU DEBT FUND - Regular Weekly Dividend	33
119629	SUNDARAM BANKING AND PSU DEBT FUND DIRECT BONUS (FORMERLY SFRSTP - DIRECT BONUS	33
119627	SUNDARAM BANKING AND PSU DEBT FUND DIRECT PLAN DAILY DIVIDEND REINVESTMENT OPTION	33
100782	SUNDARAM BANKING AND PSU DEBT FUND REGULAR DAILY REINVESTMENT	33
100784	SUNDARAM BANKING AND PSU DEBT FUND REGULAR GROWTH	33
100793	SUNDARAM BANKING AND PSU DEBT FUND REGULAR MONTHLY DIVIDEND RE INVESTMENT	33
100781	SUNDARAM BANKING AND PSU DEBT FUND Retail - Growth	33
119625	Sundaram BANKING AND PSU DEBT FUND- Direct Plan - Growth Option	33
134358	SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment	33
147637	Tata Banking & PSU Debt Fund-Direct Plan-Dividend Payout	25
147638	Tata Banking & PSU Debt Fund-Direct Plan-Dividend Reinvestment	25
147636	Tata Banking & PSU Debt Fund-Direct Plan-Growth	25
147634	Tata Banking & PSU Debt Fund-Regular Plan-Dividend Payout	25
147633	Tata Banking & PSU Debt Fund-Regular Plan-Dividend Reinvestment	25
147635	Tata Banking & PSU Debt Fund-Regular Plan-Growth	25
140135	UTI Banking & PSU Debt Fund - Direct Plan - Annual Div Option	28
133972	UTI Banking & PSU Debt Fund - Direct Plan - Flexi Div Option	28
126940	UTI Banking & PSU Debt Fund - Direct Plan - Growth Option	28
141375	UTI Banking & PSU Debt Fund - Direct Plan - Half Yearly  Div Option	28
134026	UTI Banking & PSU Debt Fund - Direct Plan - Monthly Div Option	28
126942	UTI Banking & PSU Debt Fund - Direct Plan - Quarterly Div Option	28
140116	UTI Banking & PSU Debt Fund - Regular Plan - Annual Div Option	28
133971	UTI Banking & PSU Debt Fund - Regular Plan - Flexi Div Option	28
139407	UTI Banking & PSU Debt Fund - Regular Plan - Half Yearly Div Option	28
136110	UTI Banking & PSU Debt Fund - Regular Plan - Monthly div Option	28
126939	UTI Banking & PSU Debt Fund- Regular Plan - Growth Option	28
126941	UTI Banking & PSU Debt Fund- Regular Plan - Quarterly Div Option	28
124832	Aditya Birla Sun Life Corporate Bond Fund - Dividend - Direct Plan	3
124833	Aditya Birla Sun Life Corporate Bond Fund - Dividend - Regular Plan	3
119533	Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	3
103178	Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	3
119532	Aditya Birla Sun Life Corporate Bond Fund - Monthly Dividend - Direct Plan	3
103183	Aditya Birla Sun Life Corporate Bond Fund - Monthly Dividend - Regular Plan	3
103177	Aditya Birla Sun Life Income Fund-Plan A(Dividend)	3
103179	Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend)	3
103180	Aditya Birla Sun Life Income Fund-Plan E(54EA Growth)	3
103181	Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend)	3
103182	Aditya Birla Sun Life Income Fund-Plan G(54EB Growth)	3
141586	Axis Corporate Debt Fund - Direct Plan Daily Dividend Reinvestment	53
141588	Axis Corporate Debt Fund - Direct Plan Growth	53
141590	Axis Corporate Debt Fund - Direct Plan Monthly Dividend	53
141591	Axis Corporate Debt Fund - Direct Plan Regular Dividend	53
141587	Axis Corporate Debt Fund - Direct Plan Weekly Dividend	53
141589	Axis Corporate Debt Fund - Regular Plan Daily Dividend Reinvestment	53
141593	Axis Corporate Debt Fund - Regular Plan Growth	53
141594	Axis Corporate Debt Fund - Regular Plan Monthly Dividend	53
141595	Axis Corporate Debt Fund - Regular Plan Regular Dividend	53
141592	Axis Corporate Debt Fund - Regular Plan Weekly Dividend	53
117949	BNP PARIBAS CORPORATE BOND FUND  ANNUAL DIVIDEND OPTION	59
117950	BNP PARIBAS CORPORATE BOND FUND  MONTHLY DIVIDEND OPTION	59
119983	BNP Paribas Corporate Bond Fund - Direct Plan - Annual Dividend Option	59
119984	BNP Paribas Corporate Bond Fund - Direct Plan - Growth Option	59
119985	BNP Paribas Corporate Bond Fund - Direct Plan - Monthly Dividend Option	59
119986	BNP Paribas Corporate Bond Fund - Direct Plan - Quarterly Dividend Option	59
114100	BNP PARIBAS Corporate Bond Fund - Regular Plan - Annual-Dividend Option	59
114099	BNP PARIBAS Corporate Bond Fund - Regular Plan - Growth Option	59
114105	BNP PARIBAS Corporate Bond Fund - Regular Plan - Monthly-Dividend Option	59
114097	BNP PARIBAS Corporate Bond Fund - Regular Plan - Quarterly-Dividend Option	59
117951	BNP PARIBAS CORPORATE BOND FUND GROWTH OPTION	59
117948	BNP PARIBAS CORPORATE BOND FUND QUARTERLY DIVIDEND OPTION	59
126686	Canara Robeco Corporate Bond Fund - Direct Plan - Dividend	32
126685	Canara Robeco Corporate Bond Fund - Direct Plan - Growth	32
126688	Canara Robeco Corporate Bond Fund - Regular Plan - Dividend	32
126687	Canara Robeco Corporate Bond Fund - Regular Plan - Growth	32
144647	DSP Corporate Bond Fund - Direct - Dividend	6
144646	DSP Corporate Bond Fund - Direct - Growth	6
144651	DSP Corporate Bond Fund - Direct - Monthly Dividend	6
144648	DSP Corporate Bond Fund - Direct - Quarterly Dividend	6
144650	DSP Corporate Bond Fund - Regular - Dividend	6
144644	DSP Corporate Bond Fund - Regular - Growth	6
144645	DSP Corporate Bond Fund - Regular - Monthly Dividend	6
144649	DSP Corporate Bond Fund - Regular - Quarterly Dividend	6
140341	Edelweiss Corporate Bond Fund - Direct Plan - Annual Dividend Option	47
140334	Edelweiss Corporate Bond Fund - Direct Plan - Dividend Option	47
140333	Edelweiss Corporate Bond Fund - Direct Plan - Growth Option	47
140346	Edelweiss Corporate Bond Fund - Regular Plan - Annual Dividend Option	47
140337	Edelweiss Corporate Bond Fund - Regular Plan - Dividend Option	47
140344	Edelweiss Corporate Bond Fund - Regular Plan - Fortnightly Dividend Option	47
140336	Edelweiss Corporate Bond Fund - Regular Plan - Growth Option	47
140345	Edelweiss Corporate Bond Fund - Regular Plan - Monthly Dividend Option	47
140343	Edelweiss Corporate Bond Fund - Regular Plan - Weekly Dividend Option	47
100527	Franklin India Corporate Debt Fund - Annual Dividend	27
118570	Franklin India Corporate Debt Fund - Direct - ANNUAL DIVIDEND	27
119289	Franklin India Corporate Debt Fund - Direct - Bonus	27
118569	Franklin India Corporate Debt Fund - Direct - GROWTH	27
118573	Franklin India Corporate Debt Fund - Direct - HALF YEARLY DIVIDEND	27
118571	Franklin India Corporate Debt Fund - Direct - MONTHLY DIVIDEND	27
118572	Franklin India Corporate Debt Fund - Direct - QUARTERLY DIVIDEND	27
100528	Franklin India Corporate Debt Fund - Growth	27
100531	Franklin India Corporate Debt Fund - Half Yearly Dividend	27
100532	Franklin India Corporate Debt Fund - Monthly Bonus	27
100529	Franklin India Corporate Debt Fund - Monthly Dividend	27
100530	Franklin India Corporate Debt Fund - Quarterly Dividend	27
132849	HDFC Corporate Bond Fund - Direct Option - Normal Dividend Option	9
113070	HDFC Corporate Bond Fund - Growth Option	9
113071	HDFC Corporate Bond Fund - Quarterly Dividend Option	9
132848	HDFC Corporate Bond Fund - Regular Option - Normal Dividend Option	9
118987	HDFC Corporate Bond Fund -Direct Plan - Growth Option	9
118986	HDFC Corporate Bond Fund -Direct Plan - Quarterly Dividend Option	9
130947	ICICI Prudential Corporate Bond Fund - Bonus	20
111988	ICICI Prudential Corporate Bond Fund - Daily Dividend	20
120695	ICICI Prudential Corporate Bond Fund - Direct Plan - Daily Dividend	20
120696	ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly Dividend	20
120692	ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	20
131152	ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly Dividend Option	20
120697	ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly Dividend	20
120694	ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly Dividend	20
120693	ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly Dividend	20
111990	ICICI Prudential Corporate Bond Fund - Fortnightly Dividend	20
111987	ICICI Prudential Corporate Bond Fund - Growth	20
131151	ICICI Prudential Corporate Bond Fund - Half Yearly Dividend Option	20
111991	ICICI Prudential Corporate Bond Fund - Monthly Dividend	20
111982	ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	20
111985	ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	20
111989	ICICI Prudential Corporate Bond Fund - Weekly Dividend	20
111992	ICICI Prudential Corporate Bond Fund -Quarterly Dividend	20
111976	ICICI Prudential Corporate Bond Fund Retail Daily Dividend	20
111978	ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	20
111972	ICICI Prudential Corporate Bond Fund Retail Growth	20
111979	ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	20
111980	ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	20
111977	ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	20
139202	IDFC CBF-Regular Plan_Monthly Dividend	48
139201	IDFC CBF_Direct Plan_Annual Dividend	48
135916	IDFC CBF_Direct Plan_Growth	48
139200	IDFC CBF_Direct Plan_Half Yearly Dividend	48
139198	IDFC CBF_Direct Plan_Monthly Dividend	48
135917	IDFC CBF_Direct Plan_Peiodic Dividend	48
139199	IDFC CBF_Direct Plan_Quarterly Dividend	48
139204	IDFC CBF_Regular Plan_Annual Dividend	48
135914	IDFC CBF_Regular Plan_Growth	48
139203	IDFC CBF_Regular Plan_Half Yearly Dividend	48
135915	IDFC CBF_Regular Plan_Peiodic Dividend	48
139205	IDFC CBF_Regular Plan_Quarterly Dividend	48
106179	Invesco India Corporate Bond Fund - AnnualDividend	42
120500	Invesco India Corporate Bond Fund - Direct Plan - AnnualDividend	42
120499	Invesco India Corporate Bond Fund - Direct Plan - Discretionary Dividend	42
120497	Invesco India Corporate Bond Fund - Direct Plan - Growth	42
120496	Invesco India Corporate Bond Fund - Direct Plan - MonthlyDividend	42
120501	Invesco India Corporate Bond Fund - Direct Plan - Quarterly Dividend	42
116109	Invesco India Corporate Bond Fund - Discretionary Dividend	42
106177	Invesco India Corporate Bond Fund - Growth	42
106171	Invesco India Corporate Bond Fund - MonthlyDividend	42
106172	Invesco India Corporate Bond Fund - QuarterlyDividend	42
133770	Kotak Coporate Bond Fund- Retail Plan-Growth Option	17
133791	Kotak Corporate Bond Fund- Direct Plan- Growth Option	17
133792	Kotak Corporate Bond Fund- Direct Plan- Monthly Dividend Option	17
133772	Kotak Corporate Bond Fund- Institutional Plan-Growth Option	17
133782	Kotak Corporate Bond Fund- Regular Plan-Growth Option	17
133787	Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	17
133777	Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	17
133779	Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	17
133771	Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	17
133783	Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	17
133776	Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	17
133786	Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	17
134423	L&T Triple Ace Bond Fund - Direct Plan - Annual Dividend Option	56
119844	L&T Triple Ace Bond Fund - Direct Plan -Growth	56
119846	L&T Triple Ace Bond Fund - Direct Plan -Semi Annual Dividend	56
134424	L&T Triple Ace Bond Fund - Regular Plan - Annual Dividend	56
112414	L&T Triple Ace Bond Fund - Regular Plan - Quarterly Dividend	56
119847	L&T Triple Ace Bond Fund -Direct Plan- Quarterly Dividend	56
112420	L&T Triple Ace Bond Fund -Regular Plan - Bonus	56
112416	L&T Triple Ace Bond Fund -Regular Plan - Semi Annual Dividend	56
112410	L&T Triple Ace Bond Fund-Regular Plan-Growth	56
125266	Nippon India Prime Debt Fund - Direct Plan - Dividend Plan	21
118808	Nippon India Prime Debt Fund - Direct Plan Daily Dividend Reinvestment Option	21
118807	Nippon India Prime Debt Fund - Direct Plan Growth Plan - Bonus	21
118814	Nippon India Prime Debt Fund - Direct Plan Growth Plan - Growth Option	21
118809	Nippon India Prime Debt Fund - Direct Plan Monthly Dividend Plan	21
118811	Nippon India Prime Debt Fund - Direct Plan Quarterly Dividend Plan	21
118812	Nippon India Prime Debt Fund - Direct Plan Weekly Dividend Plan	21
125267	Nippon India Prime Debt Fund - Dividend Plan	21
100859	Nippon India Prime Debt Fund - Growth Plan - Bonus Option	21
100856	Nippon India Prime Debt Fund - Growth Plan - Growth Option	21
100857	Nippon India Prime Debt Fund - Monthly Dividend Plan	21
100858	Nippon India Prime Debt Fund - Quarterly Dividend Plan	21
109472	Nippon India Prime Debt Fund- Daily Dividend Reinvestment Plan	21
109473	Nippon India Prime Debt Fund- Weekly Dividend Plan	21
138336	PGIM India Premier Bond Fund - Annual Bonus	58
138317	PGIM India Premier Bond Fund - Annual Dividend	58
138324	PGIM India Premier Bond Fund - Bonus	58
138329	PGIM India Premier Bond Fund - Direct Plan - Annual Dividend	58
138330	PGIM India Premier Bond Fund - Direct Plan - Growth	58
138333	PGIM India Premier Bond Fund - Direct Plan - Half-Yearly Bonus	58
138331	PGIM India Premier Bond Fund - Direct Plan - Monthly Dividend	58
138332	PGIM India Premier Bond Fund - Direct Plan - Quarterly Dividend	58
138318	PGIM India Premier Bond Fund - Growth	58
138334	PGIM India Premier Bond Fund - Half-Yearly Bonus	58
138316	PGIM India Premier Bond Fund - Monthly Dividend	58
138323	PGIM India Premier Bond Fund - Premium Plus Plan - Growth	58
138315	PGIM India Premier Bond Fund - Quarterly Dividend	58
146215	SBI Corporate Bond Fund - Direct Plan - Growth	22
146216	SBI Corporate Bond Fund - Direct Plan - Quarterly Dividend	22
146207	SBI Corporate Bond Fund - Regular Plan - Growth	22
146208	SBI Corporate Bond Fund - Regular Plan - Monthly Dividend	22
146210	SBI Corporate Bond Fund - Regular Plan - Quarterly Dividend	22
146212	SBI Corporate Bond Fund -Direct Plan - Monthly Dividend	22
119630	Sundaram  Corporate Bond Fund - Direct Plan - Quarterly Dividend Option	33
119631	Sundaram  Corporate Bond Fund Direct Plan Annual Dividend Option	33
119628	SUNDARAM BANKING AND PSU DEBT FUND DIRECT PLAN WEEKLY DIVIDEND REINVESTMENT OPTION	33
119624	Sundaram Corporate Bond - Direct Plan - Half Yearly Dividend Option	33
119621	Sundaram Corporate Bond Fund -  Direct Plan - Growth Option	33
100791	Sundaram Corporate Bond Fund -Institutional - Quarterly Dividend	33
119623	Sundaram Corporate Bond Fund Direct Plan - Bonus Option	33
119622	Sundaram Corporate Bond Fund Direct Plan - Monthly Dividend Option	33
100792	Sundaram Corporate Bond Fund Institutional - Growth	33
100790	Sundaram Corporate Bond Fund Institutional - Monthly Dividend	33
100788	Sundaram Corporate Bond Fund Regular - Annual  Dividend	33
100789	Sundaram Corporate Bond Fund Regular - Growth	33
100787	Sundaram Corporate Bond Fund Regular - Half  Yearly Dividend	33
100785	Sundaram Corporate Bond Fund Regular - Monthly Dividend	33
100786	Sundaram Corporate Bond Fund Regular - Quarterly Dividend	33
106130	Tata Corporate Bond Fund -Regular Plan  -  Daily Dividend	25
147387	Tata Corporate Bond Fund -Regular Plan - Daily Dividend (Segregated Portfolio 1)	25
